Solution,Time,Objective
0,965.9770801067352,198810.0
1,969.7192680835724,197725.0
2,991.0525712966919,197240.0
3,998.1758511066437,196895.0
4,999.9170920848846,193340.0
5,1011.3308491706848,192995.0
6,1013.7723801136017,190355.0
7,1022.4168591499329,190325.0
8,1028.2138512134552,189150.0
9,1036.1606903076172,189030.0
10,1037.0964059829712,187950.0
11,1044.8978543281555,187930.0
12,1047.6908023357391,183645.0
13,1051.9469113349915,183570.0
14,1053.338181257248,179745.0
15,1054.7553672790527,177585.0
16,1057.81334400177,177510.0
17,1060.8954241275787,176310.0
18,1062.7510452270508,174575.0
19,1066.1418170928955,174215.0
20,1067.2860572338104,157850.0
21,1070.1565790176392,143575.0
22,1074.8388321399689,143345.0
23,1077.3249270915985,137940.0
24,1081.5860741138458,137850.0
25,1084.609146118164,137760.0
26,1087.4578170776367,133680.0
27,1089.7888851165771,133650.0
28,1091.3992171287537,133540.0
29,1095.4737401008606,128945.0
30,1100.8078711032867,128930.0
31,1102.346960067749,126665.0
32,1104.2666161060333,126520.0
33,1106.6749422550201,126385.0
34,1108.485716342926,125085.0
35,1111.1464450359344,120095.0
36,1116.8109612464905,114395.0
37,1120.9916620254517,114305.0
38,1123.5037219524384,114155.0
39,1125.4617273807526,110615.0
40,1128.6503159999847,109430.0
41,1132.9253759384155,106450.0
42,1138.1859571933746,106330.0
43,1140.7173402309418,104455.0
44,1143.7661969661713,104410.0
45,1146.5186049938202,103305.0
46,1148.452466249466,100730.0
47,1151.1725072860718,100670.0
48,1153.4684751033783,97905.0
49,1156.3972580432892,97805.0
50,1159.949449300766,97040.0
51,1163.5893030166626,96980.0
52,1166.9378380775452,96935.0
53,1167.7348983287811,93925.0
54,1170.526427268982,93005.0
55,1178.3867182731628,92945.0
56,1180.0158340930939,91920.0
57,1183.9458842277527,91890.0
58,1186.52876329422,91605.0
59,1190.7784969806671,90940.0
60,1198.049928188324,90845.0
61,1201.8822422027588,90695.0
